0.01;0.0415353
0.02;0.122577
0.03;0.197937
0.04;0.266251
0.05;0.328101
0.06;0.384094
0.07;0.434787
0.08;0.480681
0.09;0.522231
0.1;0.55985
0.11;0.593909
0.12;0.624747
0.13;0.652668
0.14;0.67795
0.15;0.700842
0.16;0.721571
0.17;0.740341
0.18;0.75734
0.19;0.772734
0.2;0.786675
0.21;0.799302
0.22;0.810739
0.23;0.821099
0.24;0.830483
0.25;0.838985
0.26;0.846688
0.27;0.853668
0.28;0.859992
0.29;0.865725
0.3;0.87092
0.31;0.87563
0.32;0.879901
0.33;0.883773
0.34;0.887286
0.35;0.890472
0.36;0.893363
0.37;0.895987
0.38;0.898369
0.39;0.900532
0.4;0.902497
0.41;0.904282
0.42;0.905905
0.43;0.907382
0.44;0.908724
0.45;0.909947
0.46;0.91106
0.47;0.912075
0.48;0.913
0.49;0.913844
0.5;0.914616
0.51;0.91532
0.52;0.915965
0.53;0.916556
0.54;0.917097
0.55;0.917593
0.56;0.91805
0.57;0.91847
0.58;0.918856
0.59;0.919213
0.6;0.919543
0.61;0.919848
0.62;0.920131
0.63;0.920394
0.64;0.920639
0.65;0.920867
0.66;0.92108
0.67;0.92128
0.68;0.921467
0.69;0.921644
0.7;0.92181
0.71;0.921967
0.72;0.922116
0.73;0.922258
0.74;0.922392
0.75;0.922521
0.76;0.922644
0.77;0.922762
0.78;0.922875
0.79;0.922985
0.8;0.92309
0.81;0.923192
0.82;0.923291
0.83;0.923388
0.84;0.923481
0.85;0.923573
0.86;0.923662
0.87;0.923749
0.88;0.923835
0.89;0.923919
0.9;0.924002
0.91;0.924083
0.92;0.924163
0.93;0.924243
0.94;0.924321
0.95;0.924398
0.96;0.924474
0.97;0.92455
0.98;0.924625
0.99;0.9247
1;0.924773
1.01;0.924847
1.02;0.92492
1.03;0.924992
1.04;0.925064
1.05;0.925136
1.06;0.925207
1.07;0.925278
1.08;0.925349
1.09;0.925419
1.1;0.925489
1.11;0.925559
1.12;0.925629
1.13;0.925699
1.14;0.925768
1.15;0.925837
1.16;0.925906
1.17;0.925975
1.18;0.926044
1.19;0.926112
1.2;0.926181
1.21;0.926249
1.22;0.926317
1.23;0.926385
1.24;0.926453
1.25;0.926521
1.26;0.926589
1.27;0.926657
1.28;0.926724
1.29;0.926792
1.3;0.926859
1.31;0.926926
1.32;0.926994
1.33;0.927061
1.34;0.927128
1.35;0.927195
1.36;0.927262
1.37;0.927329
1.38;0.927395
1.39;0.927462
1.4;0.927529
1.41;0.927595
1.42;0.927662
1.43;0.927728
1.44;0.927795
1.45;0.927861
1.46;0.927927
1.47;0.927993
1.48;0.92806
1.49;0.928126
1.5;0.928192
1.51;0.928257
1.52;0.928323
1.53;0.928389
1.54;0.928455
1.55;0.928521
1.56;0.928586
1.57;0.928652
1.58;0.928717
1.59;0.928783
1.6;0.928848
1.61;0.928913
1.62;0.928978
1.63;0.929044
1.64;0.929109
1.65;0.929174
1.66;0.929239
1.67;0.929304
1.68;0.929369
1.69;0.929433
1.7;0.929498
1.71;0.929563
1.72;0.929627
1.73;0.929692
1.74;0.929757
1.75;0.929821
1.76;0.929885
1.77;0.92995
1.78;0.930014
